Day of activity,Weekend or weekday,Total Personal_Hygiene duration,Total Personal_Hygiene frequency,Total Dress duration,Total Dress frequency,Total Cook_Breakfast duration,Total Cook_Breakfast frequency,Total Eat_Breakfast duration,Total Eat_Breakfast frequency,Total Wash_Breakfast_Dishes duration,Total Wash_Breakfast_Dishes frequency,Total Read duration,Total Read frequency,Total Toilet duration,Total Toilet frequency,Total Work_On_Computer duration,Total Work_On_Computer frequency,Total Drink duration,Total Drink frequency,Total Cook_Dinner duration,Total Cook_Dinner frequency,Total Eat_Dinner duration,Total Eat_Dinner frequency,Total Wash_Dinner_Dishes duration,Total Wash_Dinner_Dishes frequency,Total Watch_TV duration,Total Watch_TV frequency,Total Work_At_Desk duration,Total Work_At_Desk frequency,Total Leave_Home duration,Total Leave_Home frequency,Total Groom duration,Total Groom frequency,Total Bathe duration,Total Bathe frequency,Total Step_Out duration,Total Step_Out frequency,Total Cook_Lunch duration,Total Cook_Lunch frequency,Total Eat_Lunch duration,Total Eat_Lunch frequency,Total Evening_Meds duration,Total Evening_Meds frequency,Total Wash_Dishes duration,Total Wash_Dishes frequency,Total Entertain_Guests duration,Total Entertain_Guests frequency,Total Work duration,Total Work frequency
-4.981523844874697349e-01,-6.030226891555272584e-01,6.205010751543715841e-02,-1.265890418243598603e+00,-3.539817270963276918e-01,-9.252791039998089495e-01,4.310782804000737323e-01,4.719291781830086546e-02,2.388016349342276357e+00,4.708709557974186111e-01,5.739824145574429215e-01,5.906244232186182996e-01,4.157938667968683055e-01,6.965260331469922406e-01,2.201923919747570541e-02,-1.320676359488436868e-01,2.927432992800708123e-01,5.664411840370208173e-01,-7.965787756780891016e-01,-4.200840252084028226e-01,6.513845127268623747e-01,1.126689864964388166e+00,2.602968827564088983e+00,1.330820926101403456e+00,8.140234972296533922e-01,1.922148924654283997e+00,-3.540851987009876467e-01,-5.689270656794659375e-01,1.527558545629127129e-01,4.685212856658182434e-01,-7.726559387024138914e-01,-6.375551417124805109e-01,1.747344499089220848e+00,0.000000000000000000e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,-6.826756114641662210e-01,-7.575796116874550234e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,-7.258462609520175413e-01,-8.164965809277259234e-01,-5.582178834214838181e-01,-6.030226891555272584e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
1.717766843060234208e-02,-6.030226891555272584e-01,1.942915179305807039e+00,5.866321450397163906e-01,-8.014788861484108962e-01,-4.015362149433133188e-01,-7.214699253557704806e-02,4.719291781830086546e-02,-3.288197779002098309e-01,4.708709557974186111e-01,-5.405140521925773101e-01,-5.906244232186182996e-01,1.230814892913732889e-01,6.965260331469922406e-01,-3.988323486897608072e-01,-7.924058156930614549e-01,-2.795173560894944620e-01,0.000000000000000000e+00,2.189168041180455104e-01,6.301260378126044559e-01,-7.695622644958826086e-01,-8.047784749745631183e-01,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,-7.475481270300498027e-01,-1.119501645369271658e+00,-6.020841771928937131e-02,4.685212856658182434e-01,-7.217355724298555320e-01,-6.375551417124805109e-01,4.557956935370830465e-01,0.000000000000000000e+00,1.717577898699898187e+00,1.414213562373095368e+00,4.596270113425215964e-01,4.385987225558951041e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,-7.258462609520175413e-01,-8.164965809277259234e-01,-5.582178834214838181e-01,-6.030226891555272584e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
5.325077213486744121e-01,-6.030226891555272584e-01,-3.943362701984021723e-01,-3.396291366019411062e-01,-1.604678915216253277e+00,-1.449021993056304636e+00,5.176546714427663343e-01,4.719291781830086546e-02,-6.638350435905839841e-01,4.708709557974186111e-01,-5.405140521925773101e-01,-5.906244232186182996e-01,-3.027743654822465103e-01,1.442803925804484244e+00,-7.078119954930485180e-01,-1.320676359488436868e-01,1.946531597821279824e+00,0.000000000000000000e+00,1.300846674181216800e+00,1.680336100833611734e+00,2.469070885174175500e-01,1.126689864964388166e+00,2.947518992950027839e-01,3.231993677674837251e+00,-6.229771662471836891e-01,-6.989632453288304736e-01,-6.321122151712836867e-01,-1.835248598966012640e-02,2.171972658423790836e+00,2.030258904551878629e+00,2.057425275345984850e-01,6.815244618305827951e-01,3.730630298362341835e-01,0.000000000000000000e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,-6.826756114641662210e-01,-7.575796116874550234e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,-7.258462609520175413e-01,-8.164965809277259234e-01,-5.582178834214838181e-01,-6.030226891555272584e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
1.047837774266746402e+00,1.658312395177700127e+00,9.388651483353602778e-01,-3.396291366019411062e-01,6.385440231089348773e-01,1.222066741131823536e-01,1.388829606309861242e-01,4.719291781830086546e-02,1.186321180561116517e-01,4.708709557974186111e-01,2.652367717415588633e+00,2.953122116093091609e+00,3.073581600049889229e+00,-4.975185951049961725e-02,2.734647448718754287e-02,-1.320676359488436868e-01,6.083933867664993445e-01,1.132882368074041635e+00,-7.396350983063431084e-01,-4.200840252084028226e-01,-7.695622644958826086e-01,-8.047784749745631183e-01,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,-6.198518650555651099e-01,-5.689270656794659375e-01,5.116400911866234580e-01,4.685212856658182434e-01,-1.165470192805006189e+00,-1.297094943484012219e+00,-5.875551209125086105e-01,0.000000000000000000e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,-6.826756114641662210e-01,-7.575796116874550234e-01,1.822844087389618450e-01,1.783940599336797828e+00,1.165589627900892600e+00,1.414213562373095368e+00,-7.258462609520175413e-01,-8.164965809277259234e-01,-5.582178834214838181e-01,-6.030226891555272584e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
1.563167827184818393e+00,1.658312395177700127e+00,-1.760729425293170447e+00,-3.396291366019411062e-01,-1.835885780726478206e-02,1.222066741131823536e-01,-1.170584953889739266e+00,-1.368594616730725244e+00,-1.320097824326522451e+00,-1.547147426191518793e+00,-5.405140521925773101e-01,-5.906244232186182996e-01,-1.232745981515330103e+00,-7.960297521679915445e-01,-3.242510546337951105e-01,-1.320676359488436868e-01,7.521062127754398752e-01,2.832205920185104087e-01,1.524825138510084166e-01,6.301260378126044559e-01,2.785618434555480749e-01,1.609556949949125793e-01,-1.662185368170449873e-01,1.330820926101403456e+00,-1.079827088161784548e-01,6.115928396627267061e-01,-6.581418815708093284e-01,-5.689270656794659375e-01,6.536162727080916390e-01,4.685212856658182434e-01,-6.417178540015496813e-01,-6.375551417124805109e-01,9.384028984587002853e-01,1.167748416242284648e+00,2.187214811758321442e+00,1.414213562373095368e+00,-6.826756114641662210e-01,-7.575796116874550234e-01,-5.078047889942262708e-03,5.393308788692644518e-01,2.010557399580500171e+00,1.414213562373095368e+00,6.166073857770085764e-01,1.224744871391588719e+00,-5.582178834214838181e-01,-6.030226891555272584e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
-1.528812490323613771e+00,-6.030226891555272584e-01,-2.646118998057991195e-02,-3.396291366019411062e-01,5.926468785907725856e-01,6.459495631696779983e-01,5.284767203231027777e-01,4.719291781830086546e-02,-6.264326543388527846e-02,4.708709557974186111e-01,-5.405140521925773101e-01,-5.906244232186182996e-01,6.861462710206936988e-01,6.965260331469922406e-01,1.391118708653422686e+00,5.282705437953740812e-01,-6.128929344498915688e-01,-2.832205920185104087e-01,9.876564486366142814e-01,1.680336100833611734e+00,-7.695622644958826086e-01,-8.047784749745631183e-01,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,-7.475481270300498027e-01,-1.119501645369271658e+00,1.895907861020936114e+00,4.685212856658182434e-01,-2.198062477432096984e-01,6.815244618305827951e-01,-2.290469115421644164e-01,0.000000000000000000e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,7.901409681952181741e-01,4.385987225558951041e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,4.784136280254910889e-01,1.224744871391588719e+00,-5.582178834214838181e-01,-6.030226891555272584e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
-1.013482437405541781e+00,-6.030226891555272584e-01,-3.113569287958858900e-01,-3.396291366019411062e-01,7.458285984201642321e-03,1.222066741131823536e-01,2.995903865039841296e+00,4.719291781830086546e-02,4.238172573493976802e-01,4.708709557974186111e-01,-5.405140521925773101e-01,-5.906244232186182996e-01,-1.303315412342176405e-01,-7.960297521679915445e-01,5.867061799069324124e-01,5.282705437953740812e-01,-9.506317105638807385e-01,-8.496617760555311705e-01,-1.451431065453166358e+00,-1.470294088229410212e+00,-7.695622644958826086e-01,-8.047784749745631183e-01,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,6.356079867940217509e-01,-5.689270656794659375e-01,-9.160092896681381047e-01,-1.093216333220242253e+00,1.078663092207025942e+00,6.815244618305827951e-01,1.692189389955321310e+00,1.167748416242284648e+00,1.329616970521201313e+00,1.414213562373095368e+00,-6.826756114641662210e-01,-7.575796116874550234e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,-7.258462609520175413e-01,-8.164965809277259234e-01,-5.582178834214838181e-01,-6.030226891555272584e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
-4.981523844874697349e-01,-6.030226891555272584e-01,-4.275280067594088851e-01,-3.396291366019411062e-01,9.064686042337088967e-02,-9.252791039998089495e-01,1.258965019745821534e+00,1.462980452367326878e+00,8.070196502966064944e-01,4.708709557974186111e-01,-5.405140521925773101e-01,-5.906244232186182996e-01,-4.149130193645601539e-01,-7.960297521679915445e-01,-5.160315250634217588e-01,-7.924058156930614549e-01,-9.927638388720045892e-01,-8.496617760555311705e-01,5.321070296626475571e-01,-4.200840252084028226e-01,-1.892250906301576052e-01,1.609556949949125793e-01,1.448860363429545828e+00,1.330820926101403456e+00,-6.229771662471836891e-01,-6.989632453288304736e-01,-2.937265519774497902e-01,5.322220937001456154e-01,-9.160092896681381047e-01,-1.093216333220242253e+00,-1.616115434317147437e-01,2.198466005905112472e-02,-1.102336139495567080e+00,-1.167748416242284648e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,-6.826756114641662210e-01,-7.575796116874550234e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,-7.258462609520175413e-01,-8.164965809277259234e-01,-5.582178834214838181e-01,-6.030226891555272584e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
1.717766843060234208e-02,-6.030226891555272584e-01,-7.151897236214652676e-01,-3.396291366019411062e-01,-8.817988890551952119e-01,-9.252791039998089495e-01,-6.078384121122374362e-01,4.719291781830086546e-02,-1.452497693027446080e-01,4.708709557974186111e-01,-5.405140521925773101e-01,-5.906244232186182996e-01,6.458305616188950715e-01,-7.960297521679915445e-01,1.072550038328650979e-01,-1.320676359488436868e-01,-4.365924752188105051e-01,-8.496617760555311705e-01,-1.451431065453166358e+00,-1.470294088229410212e+00,-7.695622644958826086e-01,-8.047784749745631183e-01,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,-7.475481270300498027e-01,-1.119501645369271658e+00,-5.137434420239787025e-01,4.685212856658182434e-01,-2.889124591131103093e-01,2.198466005905112472e-02,-7.277410232945032142e-02,0.000000000000000000e+00,1.191788746036664293e+00,1.414213562373095368e+00,-6.826756114641662210e-01,-7.575796116874550234e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,3.104095025304321798e+00,1.224744871391588719e+00,-5.582178834214838181e-01,-6.030226891555272584e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
5.325077213486744121e-01,-6.030226891555272584e-01,1.398017504095950159e+00,2.439154708323031606e+00,3.230011545465684142e-01,6.459495631696779983e-01,1.388829606309861242e-01,1.462980452367326878e+00,8.689745281982511615e-01,4.708709557974186111e-01,-5.405140521925773101e-01,-5.906244232186182996e-01,-4.271093684272891933e-01,6.965260331469922406e-01,-5.256205485849001213e-02,5.282705437953740812e-01,9.593581060710645314e-01,5.664411840370208173e-01,-2.783913115951999404e-02,-4.200840252084028226e-01,-7.695622644958826086e-01,-8.047784749745631183e-01,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,-5.493076966974302922e-01,-5.689270656794659375e-01,1.659280891818489811e+00,2.030258904551878629e+00,1.191415331810547595e+00,1.341064263602114170e+00,-1.102336139495567080e+00,-1.167748416242284648e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,6.045892731200201986e-01,4.385987225558951041e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,-7.258462609520175413e-01,-8.164965809277259234e-01,-5.582178834214838181e-01,-6.030226891555272584e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
1.047837774266746402e+00,1.658312395177700127e+00,8.226940703718369496e-01,-3.396291366019411062e-01,5.553554486697652726e-01,1.222066741131823536e-01,-4.563297277875253410e-01,4.719291781830086546e-02,1.456398555710140208e+00,4.708709557974186111e-01,-5.405140521925773101e-01,-5.906244232186182996e-01,6.925832330260227598e-01,2.189081818461976248e+00,1.162047591195812801e+00,1.188608723539591905e+00,1.025487822023945617e+00,1.132882368074041635e+00,4.808577200280804431e-02,6.301260378126044559e-01,3.693758181780511407e+00,3.058158204903339783e+00,-4.320336058159631176e-01,-5.703518254720301162e-01,2.749405893704236714e+00,1.922148924654283997e+00,1.767521233631366817e+00,1.633371253079757057e+00,-9.160092896681381047e-01,-1.093216333220242253e+00,-1.165470192805006189e+00,-1.297094943484012219e+00,-2.658169842980971365e-01,0.000000000000000000e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,3.610526733338227379e-01,4.385987225558951041e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,1.643189586216852183e+00,1.224744871391588719e+00,7.390823715190298904e-01,3.015113445777636847e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
1.563167827184818393e+00,1.658312395177700127e+00,-1.536685203506376496e+00,-3.396291366019411062e-01,-1.269056045927190679e+00,-4.015362149433133188e-01,-1.170584953889739266e+00,-1.368594616730725244e+00,-1.320097824326522451e+00,-1.547147426191518793e+00,-5.405140521925773101e-01,-5.906244232186182996e-01,6.380384497177072900e-01,6.965260331469922406e-01,-2.603242311572527834e-01,5.282705437953740812e-01,-7.617870577912222441e-01,-8.496617760555311705e-01,4.182196749191557927e-01,-4.200840252084028226e-01,3.489057433180601797e-01,1.609556949949125793e-01,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,1.379339686890614036e+00,1.633371253079757057e+00,-9.160092896681381047e-01,-1.093216333220242253e+00,-6.489921920404866373e-01,-6.375551417124805109e-01,3.776592889307257561e-01,0.000000000000000000e+00,1.171369749816732808e+00,1.414213562373095368e+00,-6.826756114641662210e-01,-7.575796116874550234e-01,1.280018278464756798e-01,5.393308788692644518e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,-7.258462609520175413e-01,-8.164965809277259234e-01,1.235749512917789922e-01,1.206045378311054739e+00,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
-1.528812490323613771e+00,-6.030226891555272584e-01,1.162909370122153785e+00,1.512893426681374054e+00,-9.581028918166374642e-02,-4.015362149433133188e-01,-6.240714854327423788e-01,4.719291781830086546e-02,-7.870564118616331373e-02,4.708709557974186111e-01,1.557952268084487502e+00,1.771873269655855010e+00,7.457728664384797312e-01,-4.975185951049961725e-02,-2.592587840993110931e-02,-1.320676359488436868e-01,-7.518335129158402186e-01,0.000000000000000000e+00,-6.067665177722694203e-01,-4.200840252084028226e-01,4.966279330293356664e-01,1.126689864964388166e+00,-4.320336058159631176e-01,-5.703518254720301162e-01,3.488672130984228348e-01,6.115928396627267061e-01,8.766653321461508330e-01,-1.835248598966012640e-02,7.758735401293557210e-01,2.030258904551878629e+00,-9.399657135979624378e-01,-6.375551417124805109e-01,-1.102336139495567080e+00,-1.167748416242284648e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,1.126453415519014678e+00,4.385987225558951041e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,1.307576174534595292e+00,1.224744871391588719e+00,1.321447084503275082e+00,1.206045378311054739e+00,1.238328132809646931e+00,1.194648260376006244e+00,-4.516047971910346903e-01,-5.207556439232954304e-01
-1.013482437405541781e+00,-6.030226891555272584e-01,-4.800815896476688938e-01,-3.396291366019411062e-01,7.848411712605778412e-01,6.459495631696779983e-01,3.607349626778873913e-02,4.719291781830086546e-02,-4.320779077362840725e-01,4.708709557974186111e-01,1.924430835979764332e-01,5.906244232186182996e-01,5.767179169300975516e-01,6.965260331469922406e-01,-5.586494073811164585e-01,-7.924058156930614549e-01,1.214605174656203213e+00,8.496617760555311705e-01,-2.556138406465033319e-01,-4.200840252084028226e-01,1.970332635148964506e+00,2.092424034933864085e+00,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,-3.037234528410357459e-01,-1.835248598966012640e-02,-9.160092896681381047e-01,-1.093216333220242253e+00,2.639372318460936340e-01,2.198466005905112472e-02,1.085483189482431277e+00,2.335496832484569296e+00,7.527803273081385971e-01,1.414213562373095368e+00,-6.826756114641662210e-01,-7.575796116874550234e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,-7.258462609520175413e-01,-8.164965809277259234e-01,2.007974591679824172e+00,2.110579412044345737e+00,9.327051085908928396e-01,1.194648260376006244e+00,-4.516047971910346903e-01,-5.207556439232954304e-01
